(3, 3, 7, 1.4142135623730951)
(3, 3, 10, 1.0)
(3, 3, 13, 1.0)
(3, 3, 17, 2.0)
(3, 3, 19, 1.4142135623730951)
(3, 3, 20, 1.4142135623730951)
(4, 3, 1, 2.23606797749979)
(4, 3, 4, 1.0)
(4, 3, 5, 2.8284271247461903)
(4, 3, 10, 1.4142135623730951)
(4, 3, 13, 1.0)
(4, 3, 17, 2.0)
(4, 3, 19, 1.4142135623730951)
(4, 3, 20, 2.23606797749979)
(5, 3, 4, 1.4142135623730951)
(5, 3, 7, 2.0)
(5, 3, 10, 2.0)
(5, 3, 13, 3.1622776601683795)
(5, 3, 17, 4.0)
(5, 3, 19, 3.0)
(5, 3, 20, 6.324555320336759)
(6, 3, 4, 3.0)
(6, 3, 5, 5.0)
(6, 3, 7, 2.8284271247461903)
(6, 3, 12, 5.0)
(6, 3, 16, 5.385164807134504)
(7, 3, 4, 2.23606797749979)
(7, 3, 10, 2.0)
(7, 3, 13, 2.23606797749979)
(7, 3, 17, 3.1622776601683795)
(8, 3, 4, 3.1622776601683795)
(8, 3, 5, 4.242640687119285)
(8, 3, 13, 2.8284271247461903)
(8, 3, 17, 6.082762530298219)
(9, 3, 4, 3.0)
(9, 3, 5, 6.082762530298219)
(9, 3, 10, 2.23606797749979)
(9, 3, 13, 3.1622776601683795)
(9, 3, 17, 5.0)
(10, 3, 4, 1.4142135623730951)
(10, 3, 13, 1.4142135623730951)
(10, 3, 16, 6.4031242374328485)
(10, 3, 17, 4.242640687119285)
(11, 3, 5, 3.605551275463989)
(11, 3, 19, 4.123105625617661)
(12, 3, 4, 1.0)
(12, 3, 7, 5.385164807134504)
(12, 3, 13, 1.0)
(12, 3, 17, 3.605551275463989)
(12, 3, 19, 5.0990195135927845)
(13, 3, 1, 4.0)
(13, 3, 4, 3.605551275463989)
(13, 3, 5, 4.47213595499958)
(13, 3, 10, 1.0)
(13, 3, 13, 2.0)
(13, 3, 17, 5.0)
(13, 3, 19, 5.830951894845301)
(14, 3, 4, 2.23606797749979)
(14, 3, 5, 3.605551275463989)
(14, 3, 10, 2.0)
(14, 3, 13, 2.0)
(14, 3, 17, 3.1622776601683795)
(14, 3, 19, 3.605551275463989)
(15, 3, 1, 2.8284271247461903)
(15, 3, 4, 2.23606797749979)
(15, 3, 5, 3.605551275463989)
(15, 3, 10, 2.23606797749979)
(15, 3, 13, 2.23606797749979)
(15, 3, 17, 3.1622776601683795)
(15, 3, 19, 3.1622776601683795)
(16, 3, 1, 3.1622776601683795)
(16, 3, 5, 3.1622776601683795)
(16, 3, 7, 5.0)
(16, 3, 10, 2.0)
(16, 3, 13, 3.605551275463989)
(16, 3, 17, 2.8284271247461903)
(16, 3, 19, 3.1622776601683795)
(17, 3, 1, 3.1622776601683795)
(17, 3, 4, 2.23606797749979)
(17, 3, 5, 3.605551275463989)
(17, 3, 7, 3.605551275463989)
(17, 3, 13, 2.23606797749979)
(17, 3, 17, 4.0)
(17, 3, 19, 3.1622776601683795)
(18, 3, 1, 4.0)
(18, 3, 4, 3.605551275463989)
(18, 3, 5, 5.385164807134504)
(18, 3, 7, 5.656854249492381)
(18, 3, 10, 3.605551275463989)
(18, 3, 13, 3.605551275463989)
(18, 3, 17, 4.0)
(18, 3, 19, 4.47213595499958)
(19, 3, 5, 6.0)
(19, 3, 13, 2.8284271247461903)
(19, 3, 17, 4.47213595499958)
(19, 3, 19, 4.242640687119285)
(20, 3, 1, 2.8284271247461903)
(20, 3, 4, 3.1622776601683795)
(20, 3, 13, 4.47213595499958)
(20, 3, 17, 5.0)
(20, 3, 19, 2.23606797749979)
(21, 3, 1, 3.0)
(21, 3, 4, 2.23606797749979)
(21, 3, 5, 5.0)
(21, 3, 10, 2.8284271247461903)
(21, 3, 13, 2.23606797749979)
(21, 3, 17, 3.605551275463989)
(21, 3, 19, 4.242640687119285)
(22, 3, 5, 4.123105625617661)
(22, 3, 10, 2.23606797749979)
(22, 3, 17, 4.242640687119285)
(22, 3, 19, 4.47213595499958)
(23, 3, 4, 2.23606797749979)
(23, 3, 5, 4.123105625617661)
(23, 3, 7, 4.47213595499958)
(23, 3, 10, 2.8284271247461903)
(23, 3, 13, 2.23606797749979)
(23, 3, 17, 4.242640687119285)
(24, 3, 1, 2.23606797749979)
(24, 3, 4, 3.605551275463989)
(24, 3, 5, 5.0)
(24, 3, 10, 2.23606797749979)
(24, 3, 13, 3.1622776601683795)
(24, 3, 17, 5.0)
(24, 3, 19, 4.123105625617661)
(25, 3, 4, 3.1622776601683795)
(25, 3, 5, 6.0)
(25, 3, 10, 2.8284271247461903)
(25, 3, 17, 5.0)
(25, 3, 19, 4.47213595499958)
(26, 3, 1, 5.0990195135927845)
(26, 3, 13, 5.0990195135927845)
(26, 3, 17, 6.0)
(1, 4, 2, 3.0)
(1, 4, 3, 3.605551275463989)
(1, 4, 7, 2.0)
(1, 4, 10, 4.123105625617661)
(1, 4, 12, 6.324555320336759)
(1, 4, 13, 4.242640687119285)
(2, 4, 3, 2.23606797749979)
(2, 4, 7, 2.23606797749979)
(2, 4, 10, 2.0)
(2, 4, 12, 5.0)
(2, 4, 13, 3.605551275463989)
(2, 4, 19, 5.0990195135927845)
(3, 4, 2, 4.242640687119285)
(3, 4, 3, 2.23606797749979)
(3, 4, 5, 5.385164807134504)
(3, 4, 7, 2.0)
(3, 4, 10, 2.8284271247461903)
(3, 4, 12, 5.0)
(3, 4, 13, 4.123105625617661)
(3, 4, 17, 5.0990195135927845)
(3, 4, 20, 5.656854249492381)
(4, 4, 1, 5.830951894845301)
(4, 4, 2, 2.8284271247461903)
(4, 4, 3, 2.23606797749979)
(4, 4, 5, 5.656854249492381)
(4, 4, 7, 2.0)
(4, 4, 10, 2.0)
(4, 4, 12, 4.242640687119285)
(4, 4, 13, 3.1622776601683795)
(4, 4, 17, 5.830951894845301)
(4, 4, 19, 4.123105625617661)
(5, 4, 2, 3.605551275463989)
(5, 4, 3, 2.23606797749979)
(5, 4, 7, 2.23606797749979)
(5, 4, 9, 4.242640687119285)
(5, 4, 10, 2.8284271247461903)
(5, 4, 13, 2.8284271247461903)
(5, 4, 19, 4.123105625617661)
(5, 4, 20, 5.385164807134504)
(6, 4, 3, 3.1622776601683795)
(6, 4, 5, 6.4031242374328485)
(6, 4, 7, 3.605551275463989)
(6, 4, 12, 5.0990195135927845)
(6, 4, 18, 5.385164807134504)
(7, 4, 3, 3.0)
(7, 4, 5, 6.4031242374328485)
(7, 4, 7, 4.123105625617661)
(7, 4, 10, 3.605551275463989)
(7, 4, 12, 4.123105625617661)
(7, 4, 13, 3.0)
(7, 4, 17, 5.830951894845301)
(7, 4, 19, 4.47213595499958)
(8, 4, 3, 2.23606797749979)
(8, 4, 5, 5.0990195135927845)
(8, 4, 9, 3.1622776601683795)
(8, 4, 12, 5.385164807134504)
(8, 4, 13, 5.0)
(8, 4, 15, 3.605551275463989)
(8, 4, 17, 3.605551275463989)
(8, 4, 19, 4.47213595499958)
(9, 4, 3, 2.23606797749979)
(9, 4, 5, 6.082762530298219)
(9, 4, 9, 5.830951894845301)
(9, 4, 13, 2.23606797749979)
(9, 4, 16, 5.0)
(9, 4, 17, 5.385164807134504)
(9, 4, 19, 2.23606797749979)
(10, 4, 3, 2.0)
(10, 4, 5, 5.0990195135927845)
(10, 4, 9, 2.23606797749979)
(10, 4, 13, 2.8284271247461903)
(10, 4, 17, 2.23606797749979)
(11, 4, 5, 4.0)
(11, 4, 7, 3.605551275463989)
(11, 4, 10, 4.47213595499958)
(11, 4, 12, 5.0)
(11, 4, 13, 4.123105625617661)
(11, 4, 17, 6.4031242374328485)
(12, 4, 3, 2.23606797749979)
(12, 4, 5, 6.4031242374328485)
(12, 4, 9, 3.1622776601683795)
(12, 4, 10, 3.0)
(12, 4, 12, 5.830951894845301)
(12, 4, 13, 4.242640687119285)
(12, 4, 17, 4.0)
(12, 4, 19, 5.0)
(13, 4, 3, 2.23606797749979)
(13, 4, 5, 5.385164807134504)
(13, 4, 7, 3.1622776601683795)
(13, 4, 10, 3.605551275463989)
(13, 4, 13, 3.0)
(13, 4, 17, 5.0)
(13, 4, 19, 5.385164807134504)
(14, 4, 3, 2.0)
(14, 4, 5, 5.830951894845301)
(14, 4, 9, 5.385164807134504)
(14, 4, 10, 3.0)
(14, 4, 13, 2.23606797749979)
(15, 4, 3, 2.0)
(15, 4, 5, 4.123105625617661)
(15, 4, 10, 3.0)
(15, 4, 13, 2.23606797749979)
(15, 4, 17, 5.830951894845301)
(15, 4, 19, 6.324555320336759)
(16, 4, 10, 6.082762530298219)
(16, 4, 13, 4.47213595499958)
(17, 4, 3, 4.123105625617661)
(17, 4, 13, 5.656854249492381)
(17, 4, 17, 6.4031242374328485)
(17, 4, 19, 5.830951894845301)
(18, 4, 3, 6.324555320336759)
(18, 4, 13, 5.0)
(18, 4, 19, 6.4031242374328485)
(20, 4, 3, 4.123105625617661)
(20, 4, 7, 5.656854249492381)
(20, 4, 13, 5.830951894845301)
(20, 4, 17, 5.385164807134504)
(21, 4, 3, 4.47213595499958)
(21, 4, 5, 6.4031242374328485)
(21, 4, 10, 5.0)
(21, 4, 13, 3.1622776601683795)
(21, 4, 17, 5.385164807134504)
(23, 4, 3, 4.0)
(23, 4, 5, 6.324555320336759)
(23, 4, 7, 3.605551275463989)
(23, 4, 10, 5.830951894845301)
(23, 4, 13, 4.47213595499958)
(24, 4, 3, 5.385164807134504)
(24, 4, 10, 5.0)
(24, 4, 13, 5.656854249492381)
(25, 4, 3, 5.0990195135927845)
(25, 4, 10, 5.0)
(25, 4, 17, 6.324555320336759)
(25, 4, 19, 6.4031242374328485)
(26, 4, 19, 4.0)
(1, 5, 13, 3.0)
(1, 5, 18, 5.0990195135927845)
(1, 5, 19, 6.082762530298219)
(1, 5, 20, 5.385164807134504)
(2, 5, 9, 3.0)
(2, 5, 13, 2.0)
(2, 5, 17, 5.0)
(3, 5, 1, 3.605551275463989)
(3, 5, 4, 5.0)
(3, 5, 10, 5.0990195135927845)
(3, 5, 13, 5.830951894845301)
(3, 5, 19, 4.123105625617661)
(4, 5, 1, 2.23606797749979)
(4, 5, 3, 5.656854249492381)
(4, 5, 4, 2.8284271247461903)
(4, 5, 10, 4.47213595499958)
(4, 5, 13, 1.4142135623730951)
(4, 5, 14, 4.47213595499958)
(4, 5, 17, 4.47213595499958)
(4, 5, 19, 5.830951894845301)
(5, 5, 7, 5.385164807134504)
(5, 5, 9, 3.1622776601683795)
(5, 5, 13, 2.8284271247461903)
(5, 5, 17, 2.23606797749979)
(6, 5, 3, 5.385164807134504)
(6, 5, 4, 6.324555320336759)
(6, 5, 7, 6.082762530298219)
